,Pais,Sexo,Edad,Causa de Muerte,Cantidad
410,0,0,6,50,1915
411,0,0,6,51,1424
412,0,0,6,52,637
413,0,0,6,53,333
414,0,0,6,54,38
415,0,0,6,55,20
416,0,0,6,56,17
417,0,0,6,57,6
418,0,0,6,58,244
419,0,0,6,59,75
420,0,0,7,0,1707
421,0,0,7,1,67
422,0,0,7,2,59
423,0,0,7,3,0
424,0,0,7,4,0
425,0,0,7,5,0
426,0,0,7,6,0
427,0,0,7,7,1412
428,0,0,7,8,0
429,0,0,7,9,0
430,0,0,7,10,14
431,0,0,7,11,32
432,0,0,7,12,0
433,0,0,7,13,9974
434,0,0,7,14,9565
435,0,0,7,15,147
436,0,0,7,16,372
437,0,0,7,17,554
438,0,0,7,18,1199
439,0,0,7,19,347
440,0,0,7,20,669
441,0,0,7,21,2000
442,0,0,7,22,1275
443,0,0,7,23,557
444,0,0,7,24,130
445,0,0,7,25,83
446,0,0,7,26,1766
447,0,0,7,27,1468
448,0,0,7,28,87
449,0,0,7,29,186
450,0,0,7,30,502
451,0,0,7,31,13486
452,0,0,7,32,9
453,0,0,7,33,932
454,0,0,7,34,3515
455,0,0,7,35,2936
456,0,0,7,36,451
457,0,0,7,37,8136
458,0,0,7,38,4
459,0,0,7,39,3833
460,0,0,7,40,1438
461,0,0,7,41,2273
462,0,0,7,42,66
463,0,0,7,43,871
464,0,0,7,44,84
465,0,0,7,45,1799
466,0,0,7,46,1298
467,0,0,7,47,13
468,0,0,7,48,0
469,0,0,7,49,3
470,0,0,7,50,2575
471,0,0,7,51,1061
472,0,0,7,52,455
473,0,0,7,53,174
474,0,0,7,54,35
475,0,0,7,55,7
476,0,0,7,56,16
477,0,0,7,57,12
478,0,0,7,58,163
479,0,0,7,59,37
480,0,0,8,0,1575
481,0,0,8,1,79
482,0,0,8,2,42
483,0,0,8,3,1
484,0,0,8,4,0
485,0,0,8,5,0
486,0,0,8,6,0
487,0,0,8,7,1362
488,0,0,8,8,0
489,0,0,8,9,0
490,0,0,8,10,10
491,0,0,8,11,4
492,0,0,8,12,0
493,0,0,8,13,6404
494,0,0,8,14,6124
495,0,0,8,15,70
496,0,0,8,16,209
497,0,0,8,17,302
498,0,0,8,18,846
499,0,0,8,19,192
500,0,0,8,20,324
501,0,0,8,21,910
502,0,0,8,22,1391
503,0,0,8,23,349
504,0,0,8,24,168
505,0,0,8,25,131
506,0,0,8,26,1343
507,0,0,8,27,915
508,0,0,8,28,122
509,0,0,8,29,297
510,0,0,8,30,564
511,0,0,8,31,13076
512,0,0,8,32,12
513,0,0,8,33,1225
514,0,0,8,34,2853
515,0,0,8,35,2603
516,0,0,8,36,329
517,0,0,8,37,10029
518,0,0,8,38,3
519,0,0,8,39,5368
520,0,0,8,40,1178
521,0,0,8,41,1513
522,0,0,8,42,66
523,0,0,8,43,285
524,0,0,8,44,65
525,0,0,8,45,1956
526,0,0,8,46,1263
527,0,0,8,47,16
528,0,0,8,48,0
529,0,0,8,49,8
530,0,0,8,50,2567
531,0,0,8,51,730
532,0,0,8,52,394
533,0,0,8,53,67
534,0,0,8,54,36
535,0,0,8,55,1
536,0,0,8,56,11
537,0,0,8,57,5
538,0,0,8,58,93
539,0,0,8,59,17
540,0,0,9,0,464
541,0,0,9,1,17
